Time,bitfinex,bitflyer,bitstamp,btcchina,coinbase,huobi,kraken,lakebtc,okcoin,others
2014-03-01 00:00:00 UTC,378997.83018604,,490504.60880299,156582.4327,,3039505.12490001,25845.86499878,172583.946,,410634.60550320003
2014-04-01 00:00:00 UTC,433927.21116126,,515927.57639075,145981.1823,,2525119.43010001,33551.48284796,256229.19283,,606102.5664153299
2014-05-01 00:00:00 UTC,259639.15887623,,297268.56095598,89904.7616,,1176261.6924,25035.80558068,246745.61334,703927.485000012,496685.41456352
2014-06-01 00:00:00 UTC,354190.51030868,,289718.28641985,132061.799,,1256796.86590001,33925.32113082,418888.3271,1981238.36900002,785069.8333693099
2014-07-01 00:00:00 UTC,158002.70311825,,153824.49035477,227180.0523,,726035.8241,18562.64625978,391892.85791,1160289.21800001,556254.1931889302
2014-08-01 00:00:00 UTC,362044.27874483,,315107.26545694,499156.572799996,,964026.181000004,30872.86884937,347476.3271,1630825.62800004,547405.79976761
2014-09-01 00:00:00 UTC,392789.90864222,,345104.08492015,728027.951999997,,906659.791500003,34580.86862015,372861.51649,1550392.05300002,647735.04341143
2014-10-01 00:00:00 UTC,857821.630537372,,597418.1470032,1847771.17990001,,2593495.37770004,56280.46416834,579447.78927,3907350.40300011,868324.630047254
2014-11-01 00:00:00 UTC,955828.0316431,,439244.6250198,5722393.66690004,,3182766.28950007,57536.91414037,475274.24912,5879380.32300011,681235.61793101
2014-12-01 00:00:00 UTC,527554.39398354,,295639.89341796,4160234.85270004,21.04676396,2043777.68100005,45909.00187608,535015.00015,3241970.98900006,596601.7062687599
2015-01-01 00:00:00 UTC,2054762.96101357,,786633.026379871,6150043.8446001,31755.80113242,3263566.54330018,137093.69493179,483190.85615,5622933.23500027,1302149.0776795996
2015-02-01 00:00:00 UTC,1129858.87265137,,342730.28347832,4896318.63970018,266207.30466607,1802197.69560014,85178.38538597,364296.76918,3619660.02400038,909770.830459059
2015-03-01 00:00:00 UTC,1239084.88798128,,297214.48881917,5203922.65170017,327850.703902019,2323483.39840019,92533.97535621,375382.59915,5019593.59400041,1019889.7174064844
2015-04-01 00:00:00 UTC,733206.86569282,,244921.33490548,3494414.75290017,222447.48839415,1605708.77980007,71024.8400545199,376904.42283,3435714.88000025,911090.2070012584
2015-05-01 00:00:00 UTC,476461.52112814,,136316.14048679,1616611.98950004,212729.876458269,1068125.27230003,64532.066413,182600.95553,2557579.31100015,725663.3746071352
2015-06-01 00:00:00 UTC,592029.991937201,9.953,222562.12948272,617667.92009999,200100.504915859,1382019.38050007,88870.056984,263954.37369,2258186.16800029,943406.7135251482
2015-07-01 00:00:00 UTC,825955.628344931,1404.3247565,396686.36171248,604209.556999999,230266.100086159,1700839.5005001,122276.96101984,323927.19987,3208196.66500045,1331657.8484246663
2015-08-01 00:00:00 UTC,707267.48138114,2595.09192817,418868.93937083,592744.345899999,240390.27005458,1676439.15770008,171455.55171519,451170.4951,4758772.36100021,1380902.6483009465
2015-09-01 00:00:00 UTC,296294.18999039,9758.72806283,569532.57645371,539485.373999998,218694.72031403,2380457.61900003,115728.18197317,445446.6654,3851112.83100029,1374171.2449068471
2015-10-01 00:00:00 UTC,568317.21742606,37071.47298664,716414.50324524,1143941.0301,274014.04818991,9838319.92469997,166837.48595006,820629.5557,11037810.7020001,1406329.4564414173
2015-11-01 00:00:00 UTC,1638014.11041357,51728.64214515,887623.84632671,2053316.54990001,387873.747101659,15562178.3695999,302405.49750632,930249.4285,17217898.0420001,1885047.0149285048
2015-12-01 00:00:00 UTC,1154275.86559462,65167.20744009,418827.19556416,3088052.39080005,478379.91508452,43476176.7723995,229427.34239601,1098141.1451,31964504.2489995,1411138.2175535439
2016-01-01 00:00:00 UTC,893544.903376231,77095.22425836,289462.53606115,1718462.76890001,278729.812707709,43505532.7665,209876.90109985,856404.689500001,29948711.4599996,1880710.7328669077
2016-02-01 00:00:00 UTC,643383.6576526,62459.94363349,216410.7987479,1175027.9495,226363.633014549,33282374.4902996,216065.63963678,670626.556699999,26062469.7710002,2993540.19280659
2016-03-01 00:00:00 UTC,416438.88559938,103775.31621998,156279.18938647,1109674.4244,241328.65041108,73134413.946999,298076.1481567,1063733.3953,70736350.8140019,1433350.3690100026
2016-04-01 00:00:00 UTC,366066.76801092,245180.91446594,121556.10324528,756485.713999996,195444.11488075,25511023.3343998,189672.90395397,634563.3804,28304778.2049992,1291573.53965427
2016-05-01 00:00:00 UTC,604055.3210596,413494.88160861,138829.72576012,894430.708699998,210878.217241229,19763809.9,241507.67196413,589223.5496,22153799.4849986,930748.8402693744
2016-06-01 00:00:00 UTC,1677574.53640728,459346.23075582,312774.40157084,1530495.85370001,336709.064838029,18712320.6367998,464691.53502247,882723.3507,34385198.2249908,1443069.3940965496
2016-07-01 00:00:00 UTC,668094.813759801,901955.2570205,130843.39904141,1732929.6406,204024.86173783,14095684.1977,188992.33717117,1060006.076475,22583727.7439912,1080522.3496523774
2016-08-01 00:00:00 UTC,188031.63262607,456478.02523056,160326.36787073,2855124.80310002,180779.30841118,9878182.12770053,195564.45545417,663306.473137,19523715.4229928,979945.3035505825
2016-09-01 00:00:00 UTC,129753.78762195,531462.71428562,100441.44435567,6791829.88670002,131675.39572256,17002226.5115,124052.3179269,754565.174787001,20447277.4179966,683234.8543890143
2016-10-01 00:00:00 UTC,195726.51232612,798934.46675299,114385.00363647,29017871.0996998,143419.00839951,40968420.9110989,152339.65346087,1019989.363569,42674092.2409924,573603.965846541
2016-11-01 00:00:00 UTC,269794.65086441,760767.488368169,174993.64114756,57884060.1548996,150740.63750003,54593540.4086982,201797.50153999,1112874.064911,59671341.8999844,698015.2545427923
2016-12-01 00:00:00 UTC,288299.86840255,833330.49161943,189592.1611967,61706222.3108997,194651.64584753,50677735.0508987,234589.56406707,986970.529965999,55073464.8729795,804394.7531365729
2017-01-01 00:00:00 UTC,699569.83031469,865885.361637988,360865.07488093,38513957.7622999,256950.895552009,29715984.7101979,401139.17268768,497343.582005,35579604.3509781,1051893.8717887271
2017-02-01 00:00:00 UTC,477722.68791285,650460.930344868,228468.40713033,280638.794,192968.72890827,254276.0512,286781.14265958,63214.010208,410321.772000001,890092.7525071012
2017-03-01 00:00:00 UTC,1012152.1214346,582401.473123999,366640.00667142,226729.705,386756.75363224,193922.9217,582082.31593704,,379277.578,1319366.0757478555
2017-04-01 00:00:00 UTC,419458.23592728,243934.02363674,188636.05786282,160486.5716,248682.846578349,123553.6726,301778.58463418,,303230.704,943490.945026565
2017-05-01 00:00:00 UTC,740583.28412815,422066.836973689,535696.75103587,482067.3406,625137.329019489,175903.2121,872844.51977934,,733322.988999999,1643786.1745137474
2017-06-01 00:00:00 UTC,645492.56218224,336721.060650839,514542.7910829,390470.4768,602688.099850848,,716152.12162001,,509853.988999999,1196545.0180422044
2017-07-01 00:00:00 UTC,940068.545335881,460525.718035799,499543.7430141,351312.6894,475884.189109529,,670890.94368474,,434236.353999999,1295520.7810911252
2017-08-01 00:00:00 UTC,944432.310209301,405275.954822129,432611.22567565,499322.1617,486517.88812012,,544443.16735096,,588052.946999999,1097503.7437598559
2017-09-01 00:00:00 UTC,1490809.04507677,555816.737596388,603727.34935151,300596.9131,511527.28482364,,517220.389989629,,571515.550000001,1019955.7433001006
2017-10-01 00:00:00 UTC,1341105.25805507,648158.56157004,435538.78163626,,404975.707176769,,337791.17363039,,92787.4399999999,891741.9879588033
2017-11-01 00:00:00 UTC,2100417.39102696,737281.264963559,590921.670966909,,879739.31739271,,430374.9965188,,,1280663.921525634
2017-12-01 00:00:00 UTC,2211209.50251341,695088.972867325,715476.926365229,,1275295.52217232,,346981.09784531,,,1348806.7275414786
2018-01-01 00:00:00 UTC,1597840.08141045,532036.178122113,598395.21539793,,790262.270440697,,448727.23752921,,,1146083.7160613798
2018-02-01 00:00:00 UTC,1880057.39696712,818750.865131781,723672.98789349,,963166.134347175,,790505.165480869,,,1094801.6480236603
2018-03-01 00:00:00 UTC,1770752.21717423,713135.65571732,612296.522878169,,747471.259377658,,764518.369110659,,,999707.6974666129
2018-04-01 00:00:00 UTC,1256129.67892225,543239.627301566,445692.57860415,,481559.620051889,,445426.22244368,,,745479.6963588693
2018-05-01 00:00:00 UTC,813996.036749328,401562.995844545,359873.66775669,,334031.074398229,,299939.74762354,,,813336.5832720271
2018-06-01 00:00:00 UTC,701110.720707982,257089.210125238,281441.98651898,,276579.513714998,,276413.961270689,,,753032.6214189876
2018-07-01 00:00:00 UTC,785191.783292803,202119.289303777,279258.9498935,,307232.425543149,,256660.09400074,,,752790.3369920417
2018-08-01 00:00:00 UTC,906077.807762352,247562.608158797,288687.39116685,,354511.098026659,,300132.15734821,,,817643.8690971204
2018-09-01 00:00:00 UTC,650142.606538121,193351.103416119,204307.16764456,,268213.671712739,,232065.08819405,,,741213.3339745487
2018-10-01 00:00:00 UTC,411973.526357941,121697.69450261,157400.6701972,,200983.63102836,,168172.25799207,,,959939.8895995497
2018-11-01 00:00:00 UTC,948425.584421085,302909.119328478,413082.40547272,,553908.139078772,,464908.964409599,,,1448166.4815573657
2018-12-01 00:00:00 UTC,969513.860709384,352105.973292859,425935.34785079,,553280.225219559,,595691.051100169,,,1355125.5074708946
2019-01-01 00:00:00 UTC,433174.664702411,152379.9817006,259192.61910764,,345422.883868229,,337171.94425127,,,534259.3077356244
2019-02-01 00:00:00 UTC,372923.923323241,115412.06535102,238672.30944027,,300400.27247748,,265156.81397853,,,430618.3037419994
